Date,TestName,Result,Mean,SD,ReferenceLow,ReferenceHigh,WestgardRuleViolated,Pass,Comments
2024-05-20,Glucose,98.0,100.0,5.0,70.0,110.0,None,Pass,Within 2SD
2024-05-20,Sodium,149.0,140.0,3.0,135.0,145.0,1-2s,Warning,Exceeds +2SD but <3SD
2024-05-20,Potassium,5.8,4.5,0.5,3.5,5.1,1-3s,Fail,Exceeds +3SD
2024-05-20,Chloride,97.0,102.0,2.0,98.0,107.0,None,Pass,Within 2SD
2024-05-20,Calcium,11.0,9.5,0.4,8.4,10.2,1-2s,Warning,Exceeds +2SD but <3SD
2024-05-20,Total Protein,7.1,7.0,0.3,6.0,8.0,None,Pass,Within 2SD
2024-05-20,Albumin,4.9,4.3,0.2,3.5,5.0,1-2s,Warning,Exceeds +2SD but <3SD
2024-05-20,BUN,25.0,16.0,3.0,7.0,25.0,1-2s,Warning,Exceeds +2SD but <3SD
2024-05-20,Creatinine,1.6,1.0,0.15,0.6,1.3,1-3s,Fail,Exceeds +3SD
2024-05-20,CO2,30.0,25.0,1.0,21.0,30.0,1-2s,Warning,Exceeds +2SD but <3SD
